Unnamed: 0,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yields_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2257,2016,hawaii,bananas,produce,bananas,1050.0,1050.0,5592000.0,2800.0,0.5,0.0,2.6666666666666665,1997.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,2016,california,peppers,produce,bell peppers,17200.0,17100.0,226411000.0,354825.0,0.5,100.0,20.75,638.0920171915733,1037.5,290.5,290.5,43.575,0.653625,0.134875,412.13649999999996
2259,2016,florida,peppers,produce,bell peppers,13500.0,12900.0,125962000.0,190275.0,0.5,600.0,14.75,661.9997372224412,4425.0,1239.0000000000002,1239.0000000000002,185.85000000000002,2.78775,0.5752499999999999,1757.7869999999998
2260,2016,georgia,peppers,produce,bell peppers,3300.0,3200.0,32736000.0,48000.0,0.5,100.0,15.0,682.0,750.0,210.00000000000003,210.00000000000003,31.500000000000004,0.47250000000000003,0.09749999999999999,297.93
2261,2016,michigan,peppers,produce,bell peppers,1800.0,1700.0,16354000.0,22100.0,0.5,100.0,13.0,740.0,650.0,182.00000000000003,182.00000000000003,27.3,0.40950000000000003,0.08449999999999999,258.20599999999996
2262,2016,new jersey,peppers,produce,bell peppers,3500.0,3400.0,29520000.0,46750.0,0.5,100.0,13.75,631.4438502673797,687.5,192.50000000000003,192.50000000000003,28.875000000000004,0.43312500000000004,0.089375,273.10249999999996
2263,2016,new york,peppers,produce,bell peppers,1000.0,900.0,7700000.0,13050.0,0.5,100.0,14.5,590.0383141762452,725.0,203.00000000000003,203.00000000000003,30.450000000000003,0.45675000000000004,0.09424999999999999,287.99899999999997
2264,2016,north carolina,peppers,produce,bell peppers,2400.0,2300.0,18975000.0,28750.0,0.5,100.0,12.5,660.0,625.0,175.00000000000003,175.00000000000003,26.25,0.39375,0.08124999999999999,248.27499999999998
2265,2016,ohio,peppers,produce,bell peppers,2000.0,1900.0,21279000.0,23750.0,0.5,100.0,12.5,895.9578947368421,625.0,175.00000000000003,175.00000000000003,26.25,0.39375,0.08124999999999999,248.27499999999998
2266,2016,pennsylvania,peppers,produce,bell peppers,1000.0,900.0,7063000.0,7425.0,0.5,100.0,8.25,951.2457912457912,412.5,115.50000000000001,115.50000000000001,17.325000000000003,0.259875,0.05362499999999999,163.8615
2267,2016,oregon,blackberries,produce,blackberries,7000.0,7000.0,26387000.0,29180.0,0.5,0.0,4.168571428571428,904.2837559972584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,2016,california,blueberries,produce,blueberries,6400.0,6400.0,108765000.0,30250.0,0.5,0.0,4.7265625,3595.5371900826444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,2016,florida,blueberries,produce,blueberries,4700.0,4700.0,53656000.0,7350.0,0.5,0.0,1.5638297872340425,7300.136054421769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,2016,georgia,blueberries,produce,blueberries,16900.0,16900.0,88305000.0,35400.0,0.5,0.0,2.094674556213018,2494.491525423729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2271,2016,maine,blueberries,produce,blueberries,23100.0,23100.0,27679000.0,50920.0,0.5,0.0,2.2043290043290042,543.5781618224667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,2016,michigan,blueberries,produce,blueberries,20300.0,20300.0,130350000.0,55150.0,0.5,0.0,2.7167487684729066,2363.5539437896646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,2016,mississippi,blueberries,produce,blueberries,1800.0,1800.0,10947000.0,4100.0,0.5,0.0,2.2777777777777777,2670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,2016,new jersey,blueberries,produce,blueberries,9300.0,9300.0,59390000.0,22060.0,0.5,0.0,2.372043010752688,2692.2030825022666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,2016,new york,blueberries,produce,blueberries,900.0,900.0,3235000.0,695.0,0.5,0.0,0.7722222222222223,4654.676258992806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,2016,north carolina,blueberries,produce,blueberries,7200.0,7200.0,66924000.0,23300.0,0.5,0.0,3.236111111111111,2872.274678111588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,2016,oregon,blueberries,produce,blueberries,11900.0,11900.0,104580000.0,58500.0,0.5,0.0,4.915966386554622,1787.6923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,2016,washington,blueberries,produce,blueberries,13400.0,13400.0,94008000.0,60000.0,0.5,0.0,4.477611940298507,1566.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,2016,arizona,broccoli,produce,broccoli,9300.0,9300.0,72205000.0,55800.0,0.5,0.0,6.0,1293.9964157706092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,2016,california,broccoli,produce,broccoli,123000.0,122000.0,774390000.0,1067500.0,0.5,1000.0,8.75,725.423887587822,4375.0,1225.0000000000002,1225.0000000000002,183.75,2.75625,0.56875,1737.925
2281,2016,arizona,cabbage,produce,cabbage,3700.0,3700.0,50435000.0,79550.0,0.5,0.0,21.5,634.0037712130735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282,2016,california,cabbage,produce,cabbage,14600.0,14400.0,158976000.0,288000.0,0.5,200.0,20.0,552.0,2000.0,560.0,560.0,84.0,1.26,0.25999999999999995,794.48
2283,2016,florida,cabbage,produce,cabbage,8500.0,7900.0,49422000.0,134300.0,0.5,600.0,17.0,367.9970215934475,5100.0,1428.0000000000002,1428.0000000000002,214.20000000000002,3.213,0.6629999999999999,2025.924
2284,2016,georgia,cabbage,produce,cabbage,4400.0,4100.0,21968000.0,77900.0,0.5,300.0,19.0,282.00256739409497,2850.0,798.0000000000001,798.0000000000001,119.7,1.7955,0.37049999999999994,1132.134
2285,2016,michigan,cabbage,produce,cabbage,3600.0,3500.0,15987000.0,57750.0,0.5,100.0,16.5,276.83116883116884,825.0,231.00000000000003,231.00000000000003,34.650000000000006,0.51975,0.10724999999999998,327.723
